job_title,location,company,salary
"Team Lead, Engineering & Data Science","Austin, TX 78702 (Rosewood area)•Remote work available",ASTRALABS,102500.0
Data Analyst III Transportation Planning Program TPP,"Austin, TX 78704 (Travis Heights area)•Remote",Texas Department of Transportation,68046.5
Juvenile Justice Data Analyst,"Austin, TX 78701 (Downtown area)",Travis County,56605.5
newEDI Analyst,"Austin, TX 78744•Remote",SAIC,87500.5
newBusiness Analyst I,"Austin, TX 78701 (Downtown area)",Travis County,55579.0
Budget Analyst- Business and Economic Development,"Austin, TX+1 location",Legislative Budget Board,45000.0
Senior Field Trainer/Analyst,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,80000.0
Senior Business Analyst- Office of Admissions,"Austin, TX 78712 (University of Texas area)+1 location",University of Texas at Austin,63000.0
Associate Director - Assessment and Data Analytics,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,70000.0
"Research Data Analyst, Department of Pediatrics, Dell Medica...","Austin, TX 78712 (University of Texas area)",University of Texas at Austin,58000.0
Data Analyst- Health and Human Services,"Austin, TX",Legislative Budget Board,45000.0
Actuarial / Business Analytics Lead Analyst (Pharmacy Rebate...,"Austin, TX 78717",Cigna,98000.0
newData Analyst,"Austin, TX 78704 (Galindo area)",AjaxMinerals,110000.0
newData Analyst,"Austin, TX",CDC Foundation ( Contract),69000.0
newData Analyst with Python,"Austin, TX",Plexus,87500.0
newBusiness Analyst,"Austin, TX 78704 (St. Edwards area)",F45 Training HQ,85000.0
Data Analyst,"Austin, TX",Hitch,65000.0
newEntry Level Business Analyst,"Austin, TX 78701 (Downtown area)",DigitalTransGlobal,70000.0
Research Data Analyst II,"Austin, TX 78754",IGT Global Solutions,66000.0
Senior Legal Contracts Analyst (Open to Remote),"Austin, TX•Remote",Indeed,66000.0
Paralegal / Data Analyst,"Dripping Springs, TX 78620",The Cicala Law Firm PLLC,45000.0
Business Enablement Business Analyst,"Austin, TX•Temporarily Remote",Indeed,64000.0
newSenior Business Analyst,"Austin, TX",Dutech,92777.5
"newSr. Business Analyst local to Austin, TX","Austin, TX•Temporarily Remote",American Unit,92777.5
Digital Marketing Analyst,"Austin, TX 78741 (Parker Lane area)",Rocket Dollar,57500.0
"Senior Business Analyst, Insurance","Austin, TX 73301 (Parker Lane area)",Caribou,110000.0
newOperations Dashboard Developer,"Austin, TX 78754",MilliporeSigma,87500.0
BI Consultant,"Austin, TX 78751 (Hyde Park area)•Remote work available",Integrous Marketing,85000.0
newSenior Salesforce Commerce Cloud Business Analyst,"Austin, TX 78701 (Downtown area)",Merkle,105000.0
newData Engineer - Marketing Analytics (REMOTE),"Austin, TX 73301 (St Edwards area)•Remote",Splunk,115000.0
"Senior Data Engineer, Customer Success","Austin, TX",Salesforce,75000.0
Data Analytics Engineer - Capacity Planning,"Austin, TX",Charles Schwab,133400.0
"Staff Software Engineer : Data Management Services, Core Inf...","Austin, TX",Salesforce,158000.0
Senior Software Engineer - Data Stream Processor API,"Austin, TX 73301 (St Edwards area)",Splunk,115000.0
Data Engineer,"Austin, TX+1 location",Glassdoor,125100.0
"(W2/1099 Only) :: Teradata Data Engineer :: Austin, TX","Austin, TX•Temporarily Remote",TCS,128004.0
newData Operations Engineer,"Austin, TX",Advanced Tech Placement,165000.0
Data Engineer,"Austin, TX",Affirma Consulting,105741.0
Staff Software Engineer - Data Infrastructure,"Austin, TX•Remote",Indeed,175000.0
Senior Software Engineer - Big Data - Ranking & Personalizat...,"Austin, TX",Indeed,155000.0
ITSM Operations Analyst,"New Orleans, LA 70117 (Bywater area)",LafargeHolcim in the US,73965.5
Programmer Analyst,"New Orleans, LA 70122 (Dillard area)",HANO,66594.0
Business Intelligence Analyst,"New Orleans, LA 70117 (Bywater area)",Chief of Minds,55000.0
Programmer Analyst,"New Orleans, LA 70122 (Dillard area)",Housing Authority of NO,66594.0
Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)","Amazon Web Services, Inc.",114700.0
Data Scientist/Marketer,"El Segundo, CA•Remote",Pinnacle Group,231100.0
Data Scientist - Operations Research (CPLEX/Gurobi),"Los Angeles, CA•Remote",Nordstrom Inc,112700.0
newSenior Systems and Data Analyst (Virtual),"El Segundo, CA",BOEING,136800.0
Senior Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)","Amazon Web Services, Inc.",116200.0
Associate Data & Machine Learning Engineer,"Los Angeles, CA","Amazon Web Services, Inc.",82600.0
Principal Data Scientist - People Insights (Americas),"Los Angeles, CA+1 location•Remote",Genentech,180000.0
Data Scientist (WFH),"Los Angeles, CA",spar information systems,107445.0
newSenior Data Scientist,"Los Angeles, CA",vedainfo,175000.0
Bioinformatics/Data Scientist,"Monrovia, CA 91016","ChromoLogic, LLC",105000.0
Sr. Data Analyst,"Los Angeles, CA•Temporarily Remote",spar information systems,78613.0
Senior Data Analyst,"Anaheim, CA 92806 (Platinum Triangle area)",Deliver-it,72500.0
Director of ADAS Algorithms and R&D,"Torrance, CA",Altair,170000.0
Artificial Intelligence Engineer,"Rancho Park, CA 90064",MSBAI,115000.0
